Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
238,Keyontae Johnson\johnske08,SF,23,OKC,2,0,11.5,1.0,3.0,0.333,0.0,0.5,0.0,1.0,2.5,0.4,0.333,0.0,0.0,,0.5,1.0,1.5,1.0,0.0,0.0,1.0,0.5,2.0
239,Nikola Jokić\jokicni01,C,28,DEN,43,43,33.6,10.2,17.3,0.587,1.0,2.9,0.35,9.2,14.4,0.634,0.616,4.8,5.8,0.823,3.0,8.9,11.9,9.1,1.1,1.0,2.9,2.6,26.1
240,Colby Jones\jonesco02,SG,21,SAC,15,0,7.3,1.1,2.8,0.381,0.1,0.9,0.077,1.0,1.9,0.517,0.393,0.1,0.2,0.667,0.6,0.8,1.4,0.6,0.3,0.1,0.3,1.0,2.3
241,Damian Jones\jonesda03,C,28,CLE,17,0,5.5,0.6,1.2,0.5,0.1,0.2,0.25,0.5,0.9,0.563,0.525,0.1,0.2,0.667,0.2,0.8,1.0,0.2,0.1,0.2,0.3,0.6,1.4
242,Derrick Jones Jr.\jonesde02,SF,26,DAL,40,39,26.0,3.9,7.8,0.492,1.5,4.1,0.356,2.4,3.8,0.64,0.585,1.4,1.9,0.747,1.3,2.5,3.8,1.0,0.9,0.9,0.9,1.9,10.6
243,Herbert Jones\joneshe01,SF,25,NOP,40,40,28.8,3.8,7.8,0.481,1.3,3.4,0.378,2.5,4.4,0.559,0.563,1.9,2.2,0.852,1.1,2.5,3.6,2.5,1.2,1.0,1.2,2.8,10.7
244,Tre Jones\jonestr01,PG,24,SAS,38,9,25.1,3.7,7.5,0.493,0.6,2.3,0.267,3.1,5.3,0.59,0.533,1.3,1.5,0.895,0.7,2.4,3.1,5.4,0.9,0.1,1.4,1.3,9.4
245,Tyus Jones\jonesty01,PG,27,WAS,42,42,28.3,5.2,10.3,0.51,1.6,3.8,0.421,3.6,6.5,0.563,0.588,0.5,0.7,0.75,0.3,2.5,2.9,6.0,1.2,0.3,0.9,0.7,12.6
246,DeAndre Jordan\jordade01,C,35,DEN,20,1,12.6,1.9,2.9,0.649,0.0,0.0,,1.9,2.9,0.649,0.649,1.0,2.2,0.455,1.7,3.3,5.0,0.9,0.3,0.5,0.9,1.9,4.7
247,Cory Joseph\josepco01,PG,32,GSW,21,0,10.7,0.6,2.3,0.271,0.3,1.5,0.194,0.3,0.8,0.412,0.333,0.2,0.3,0.571,0.2,0.7,0.9,1.7,0.2,0.1,0.5,0.9,1.7
248,Nikola Jović\jovicni01,PF,20,MIA,17,12,18.2,2.1,5.2,0.409,1.1,2.5,0.419,1.1,2.6,0.4,0.511,0.6,1.2,0.55,0.9,3.8,4.6,2.1,0.4,0.4,1.0,2.2,5.9
249,Johnny Juzang\juzanjo01,SG,22,UTA,1,0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
250,Luke Kennard\kennalu01,SG,27,MEM,19,7,23.8,3.3,7.5,0.437,2.5,5.7,0.431,0.8,1.7,0.455,0.602,0.9,0.9,0.944,0.4,2.7,3.1,2.8,0.5,0.1,0.7,1.0,9.9
251,Walker Kessler\kesslwa01,C,22,UTA,36,13,24.0,3.8,5.9,0.648,0.1,0.4,0.25,3.7,5.5,0.68,0.657,0.8,1.5,0.491,2.7,5.1,7.7,0.8,0.5,2.7,1.1,2.2,8.5
252,Braxton Key\keybr01,SF,26,DEN,13,0,3.4,0.4,1.1,0.357,0.1,0.3,0.25,0.3,0.8,0.4,0.393,0.3,0.4,0.8,0.2,0.6,0.8,0.6,0.2,0.0,0.1,0.3,1.2
253,Corey Kispert\kispeco01,SF,24,WAS,41,1,21.7,4.0,8.4,0.478,2.0,5.3,0.369,2.1,3.1,0.664,0.594,1.5,1.9,0.772,0.3,1.9,2.2,1.5,0.3,0.2,1.0,1.6,11.5
254,Maxi Kleber\klebima01,C,32,DAL,8,2,17.8,1.0,3.1,0.32,0.6,2.0,0.313,0.4,1.1,0.333,0.42,1.0,1.5,0.667,0.8,2.9,3.6,1.9,0.3,0.6,0.9,2.3,3.6
255,Kevin Knox\knoxke01,SF,24,DET,24,8,19.3,3.1,6.5,0.478,1.3,3.4,0.366,1.9,3.1,0.6,0.573,0.7,0.8,0.895,0.6,1.8,2.5,0.8,0.5,0.3,0.7,1.6,8.2
256,John Konchar\konchjo01,SF,27,MEM,33,4,16.8,1.1,3.1,0.356,0.6,2.0,0.292,0.5,1.1,0.472,0.45,0.3,0.3,0.818,0.9,2.8,3.8,1.5,0.7,0.7,0.5,1.0,3.0
257,Furkan Korkmaz\korkmfu01,SG,26,PHI,26,0,6.6,0.7,1.7,0.386,0.2,0.8,0.286,0.4,0.9,0.478,0.455,0.3,0.4,0.7,0.0,0.5,0.5,0.5,0.4,0.0,0.3,0.4,1.8
258,Luke Kornet\kornelu01,C,28,BOS,30,2,14.8,2.1,3.0,0.703,0.0,0.0,,2.1,3.0,0.703,0.703,0.7,0.8,0.875,1.8,1.9,3.8,0.9,0.4,1.0,0.4,1.3,5.0
259,Jonathan Kuminga\kuminjo01,PF,21,GSW,39,15,23.1,5.1,9.9,0.513,0.8,2.6,0.307,4.3,7.3,0.586,0.553,2.7,3.7,0.712,1.2,3.1,4.3,1.5,0.6,0.3,1.4,2.2,13.6
260,Kyle Kuzma\kuzmaky01,PF,28,WAS,42,42,31.3,8.5,18.7,0.455,2.3,6.7,0.343,6.2,12.0,0.517,0.516,2.5,3.2,0.785,1.0,5.3,6.4,4.3,0.5,0.6,2.6,2.0,21.8
261,Jock Landale\landajo01,C,28,HOU,24,0,9.0,0.8,2.2,0.358,0.1,0.7,0.118,0.7,1.5,0.472,0.377,0.4,0.5,0.75,1.0,0.8,1.9,0.5,0.3,0.4,0.4,0.8,2.0
262,Jake LaRavia\laravja01,PF,22,MEM,11,0,11.1,1.5,3.9,0.372,0.5,2.2,0.208,1.0,1.7,0.579,0.43,0.3,0.4,0.75,0.6,0.8,1.5,0.5,0.1,0.1,0.4,1.7,3.6
263,Zach LaVine\lavinza01,SG,28,CHI,25,23,34.9,6.8,15.0,0.452,2.4,6.8,0.349,4.4,8.3,0.536,0.531,3.5,4.1,0.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5
264,A.J. Lawson\lawsoaj01,SG,23,DAL,19,0,9.9,1.6,3.5,0.47,0.6,1.7,0.333,1.1,1.7,0.606,0.553,0.6,0.8,0.733,0.5,0.8,1.3,0.5,0.5,0.1,0.5,0.7,4.4
265,Saben Lee\leesa01,PG,24,PHO,10,0,6.9,0.8,1.9,0.421,0.0,0.4,0.0,0.8,1.5,0.533,0.421,1.3,1.7,0.765,0.5,0.5,1.0,1.1,0.3,0.3,0.4,0.6,2.9
266,Alex Len\lenal01,C,30,SAC,17,0,8.8,1.1,1.7,0.621,0.0,0.1,0.0,1.1,1.6,0.667,0.621,0.2,0.6,0.4,1.4,1.9,3.3,1.1,0.2,0.5,0.6,1.1,2.4
267,Kawhi Leonard\leonaka01,SF,32,LAC,37,37,34.6,8.8,17.0,0.518,2.3,5.2,0.445,6.5,11.8,0.549,0.585,3.8,4.4,0.877,1.0,5.0,6.0,3.6,1.6,0.8,1.6,1.6,23.7
268,Caris LeVert\leverca01,SG,29,CLE,31,1,28.8,5.7,13.6,0.423,2.0,5.7,0.347,3.8,7.9,0.478,0.495,2.5,3.4,0.743,0.5,3.1,3.5,4.1,1.0,0.4,1.5,1.6,16.0
269,Kira Lewis Jr.\lewiski01,PG,22,NOP,15,0,9.6,1.1,3.5,0.308,0.1,1.3,0.1,0.9,2.1,0.438,0.327,0.7,0.7,0.909,0.3,0.7,0.9,1.2,0.3,0.1,0.5,0.5,2.9
270,Maxwell Lewis\lewisma05,SF,21,LAL,14,0,4.3,0.1,0.6,0.111,0.1,0.2,0.333,0.0,0.4,0.0,0.167,0.0,0.0,,0.1,0.1,0.2,0.2,0.1,0.0,0.4,0.1,0.2
271,E.J. Liddell\liddeej01,PF,23,NOP,6,0,2.8,0.2,0.8,0.2,0.0,0.7,0.0,0.2,0.2,1.0,0.2,0.3,0.3,1.0,0.0,0.5,0.5,0.2,0.0,0.3,0.3,0.3,0.7
272,Damian Lillard\lillada01,PG,33,MIL,39,39,35.2,7.5,17.4,0.431,3.1,8.6,0.355,4.5,8.8,0.504,0.518,7.4,8.0,0.923,0.5,3.8,4.3,6.9,1.1,0.2,2.4,1.7,25.5
273,Nassir Little\littlna01,SF,23,PHO,25,2,14.7,1.8,3.7,0.484,0.6,2.0,0.314,1.2,1.7,0.69,0.57,0.7,0.8,0.85,0.6,1.8,2.4,0.6,0.4,0.3,0.5,1.2,4.9
274,Dereck Lively II\livelde01,C,19,DAL,31,30,25.4,4.0,5.5,0.735,0.0,0.1,0.0,4.0,5.4,0.744,0.735,0.8,1.4,0.568,2.9,4.9,7.8,1.3,0.6,1.4,1.2,3.0,8.9
275,Isaiah Livers\liveris01,PF,25,DET,23,6,20.4,1.7,5.0,0.345,1.0,3.3,0.286,0.8,1.7,0.462,0.44,0.5,0.8,0.667,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5.0
276,Chris Livingston\livinch01,SF,20,MIL,12,0,4.8,0.6,1.0,0.583,0.1,0.1,1.0,0.5,0.9,0.545,0.625,0.2,0.2,1.0,0.2,0.8,1.0,0.3,0.2,0.0,0.3,0.4,1.4
277,Kenneth Lofton Jr.\loftoke01,PF,21,TOT,16,0,6.4,0.9,2.4,0.359,0.2,0.6,0.3,0.7,1.8,0.379,0.397,0.5,0.9,0.533,0.1,0.9,1.1,0.9,0.2,0.2,0.5,0.9,2.4
277,Kenneth Lofton Jr.\loftoke01,PF,21,MEM,15,0,6.6,0.9,2.5,0.378,0.2,0.7,0.3,0.7,1.8,0.407,0.419,0.5,1.0,0.533,0.1,0.9,1.0,0.9,0.2,0.2,0.4,1.0,2.6
277,Kenneth Lofton Jr.\loftoke01,PF,21,PHI,1,0,4.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
278,Kevon Looney\looneke01,C,27,GSW,40,34,20.5,2.4,3.8,0.618,0.0,0.0,,2.4,3.8,0.618,0.618,1.0,1.4,0.704,2.6,4.5,7.1,2.4,0.5,0.3,0.7,2.5,5.7
