Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
485,Nikola Vučević\vucevni01,C,33,CHI,39,1311,16.9,0.522,0.26,0.098,8.5,26.7,17.4,16.6,1.1,2.3,9.0,23.1,,0.8,1.8,2.6,0.094,,0.0,-0.1,-0.1,0.6
486,Dean Wade\wadede01,PF,27,CLE,33,726,10.1,0.597,0.852,0.128,4.8,17.8,11.4,5.2,2.1,1.0,9.2,10.3,,0.6,1.2,1.9,0.123,,-2.2,2.1,-0.1,0.4
487,Franz Wagner\wagnefr01,SF,22,ORL,35,1163,17.8,0.562,0.293,0.291,3.6,16.2,9.8,19.4,1.6,0.9,8.9,26.1,,1.5,1.6,3.1,0.129,,1.1,0.5,1.6,1.1
488,Moritz Wagner\wagnemo01,C,26,ORL,41,780,19.6,0.666,0.236,0.374,9.3,18.0,13.6,11.3,1.3,1.5,12.6,21.7,,1.8,1.1,2.9,0.18,,1.3,0.6,1.9,0.8
489,Ish Wainright\wainris01,SF,29,POR,7,46,10.2,0.53,0.889,0.111,0.0,23.7,11.0,0.0,2.1,2.0,5.0,18.2,,0.0,0.1,0.0,0.05,,-1.4,0.6,-0.9,0.0
490,Jabari Walker\walkeja01,SF,21,POR,38,777,14.8,0.581,0.297,0.394,9.3,24.5,16.3,6.4,1.6,1.8,10.9,16.9,,0.9,0.8,1.7,0.104,,-2.0,-0.4,-2.3,-0.1
491,Jarace Walker\walkeja02,PF,20,IND,15,165,14.6,0.552,0.469,0.109,5.5,14.1,9.8,15.1,2.5,2.4,10.7,18.9,,0.1,0.1,0.3,0.08,,0.6,0.2,0.8,0.1
492,Lonnie Walker IV\walkelo01,SG,25,BRK,24,450,18.2,0.642,0.534,0.172,0.9,12.7,6.6,12.1,1.6,1.8,10.9,25.2,,0.6,0.4,0.9,0.101,,3.4,-0.3,3.1,0.6
493,Cason Wallace\wallaca01,SG,20,OKC,42,894,11.1,0.63,0.521,0.108,3.6,7.8,5.8,8.2,1.5,2.1,8.6,11.8,,1.1,0.9,2.0,0.109,,-0.8,0.3,-0.5,0.3
494,Jordan Walsh\walshjo01,SF,19,BOS,1,3,3.8,0.0,1.0,0.0,0.0,100.0,70.8,0.0,0.0,0.0,0.0,14.3,,0.0,0.0,0.0,-0.103,,-14.4,3.4,-11.1,0.0
495,P.J. Washington\washipj01,PF,25,CHO,34,965,12.1,0.528,0.491,0.174,4.8,16.2,10.2,11.2,1.5,2.2,10.9,20.5,,-0.1,0.5,0.4,0.018,,-2.3,-1.1,-3.4,-0.4
496,TyTy Washington Jr.\washity02,PG,22,MIL,2,6,0.7,0.5,0.667,0.0,0.0,17.5,9.1,0.0,7.9,0.0,40.0,35.2,,-0.1,0.0,0.0,-0.364,,-11.2,0.2,-10.9,0.0
497,Yuta Watanabe\watanyu01,SF,29,PHO,25,365,4.7,0.482,0.793,0.163,3.6,9.6,6.8,3.5,0.9,1.7,13.2,13.5,,-0.3,0.2,-0.1,-0.008,,-4.9,-1.8,-6.7,-0.4
498,Lindy Waters III\waterli01,SG,26,OKC,15,113,11.0,0.618,0.947,0.0,1.1,10.3,6.0,11.2,0.0,1.7,5.0,15.3,,0.2,0.1,0.2,0.104,,0.3,-1.4,-1.1,0.0
499,Trendon Watford\watfotr01,PF,23,BRK,31,379,16.8,0.602,0.207,0.215,8.0,17.4,12.5,19.1,1.9,1.7,14.5,19.4,,0.6,0.4,1.0,0.122,,-0.4,1.0,0.7,0.3
500,Peyton Watson\watsope01,SF,21,DEN,42,729,12.5,0.561,0.374,0.251,3.6,13.2,8.5,7.1,1.4,4.2,8.0,16.3,,0.5,0.9,1.4,0.093,,-2.0,0.4,-1.6,0.1
501,Victor Wembanyama\wembavi01,C,20,SAS,36,1026,21.1,0.552,0.31,0.284,7.8,30.7,19.0,16.9,1.8,9.7,15.3,31.4,,-0.8,1.9,1.0,0.048,,0.2,2.0,2.2,1.1
502,Blake Wesley\weslebl01,SG,20,SAS,21,201,10.4,0.508,0.196,0.321,2.6,8.2,5.3,26.5,1.6,0.4,11.1,15.0,,0.1,0.1,0.2,0.051,,-4.8,-0.4,-5.2,-0.2
503,Russell Westbrook\westbru01,PG,35,LAC,41,954,16.9,0.522,0.24,0.245,8.0,20.4,14.4,29.2,2.3,1.7,17.0,24.2,,0.4,1.4,1.8,0.091,,0.5,1.2,1.7,0.9
504,Coby White\whiteco01,PG,23,CHI,44,1560,14.7,0.583,0.483,0.212,1.5,12.8,7.0,21.0,0.9,0.9,11.7,22.4,,1.7,1.2,2.9,0.089,,0.8,-0.8,0.0,0.8
505,Derrick White\whitede01,SG,29,BOS,39,1254,17.7,0.627,0.563,0.227,2.5,10.8,6.8,21.2,1.6,3.2,11.6,19.5,,2.8,1.9,4.7,0.181,,2.9,1.7,4.6,2.1
506,Cam Whitmore\whitmca01,SF,19,HOU,19,296,15.9,0.581,0.445,0.255,3.7,18.1,10.9,3.2,2.3,1.6,8.4,24.2,,0.1,0.5,0.5,0.088,,-0.2,0.3,0.1,0.2
507,Aaron Wiggins\wiggiaa01,SG,25,OKC,39,490,13.8,0.671,0.297,0.227,5.6,13.4,9.7,8.9,1.8,0.8,11.9,14.1,,0.8,0.6,1.4,0.14,,-0.2,0.0,-0.2,0.2
508,Andrew Wiggins\wiggian01,SF,28,GSW,36,948,9.4,0.495,0.294,0.235,7.3,9.9,8.6,8.0,0.6,1.4,10.6,21.4,,-0.4,0.4,0.0,-0.001,,-3.3,-2.5,-5.8,-0.9
509,Lindell Wigginton\wiggili01,PG,25,MIL,3,8,5.7,0.51,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,14.5,36.4,,0.0,0.0,0.0,-0.155,,-14.6,-9.3,-23.9,0.0
510,Brandon Williams\willibr03,PG,24,DAL,5,30,20.2,0.606,0.273,0.455,7.1,11.1,9.1,29.0,1.6,2.9,13.2,21.5,,0.1,0.0,0.1,0.152,,3.4,0.1,3.5,0.0
511,Grant Williams\willigr01,PF,25,DAL,38,1019,8.3,0.557,0.68,0.17,4.0,10.4,7.1,8.3,0.8,2.1,12.0,13.2,,0.4,0.7,1.1,0.051,,-2.5,-0.8,-3.3,-0.3
512,Jalen Williams\willija06,PF,22,OKC,39,1252,18.3,0.635,0.228,0.267,2.2,11.7,7.2,19.9,1.6,1.5,11.2,22.5,,2.6,1.4,4.0,0.153,,1.7,0.2,1.9,1.2
513,Jaylin Williams\willija07,C,21,OKC,34,392,11.3,0.533,0.663,0.144,4.5,23.6,14.6,13.6,1.6,2.2,11.2,13.8,,0.3,0.6,0.9,0.112,,-1.4,1.7,0.3,0.2
514,Jeenathan Williams\willije02,SG,24,HOU,7,55,13.0,0.517,0.136,0.227,9.9,1.9,5.9,8.2,1.8,0.0,4.0,19.7,,0.1,0.0,0.1,0.091,,-2.1,-0.6,-2.7,0.0
515,Kenrich Williams\willike04,PF,29,OKC,31,475,11.2,0.564,0.534,0.085,5.5,15.2,10.6,12.2,1.8,0.8,9.6,12.3,,0.5,0.6,1.1,0.11,,-0.9,0.6,-0.3,0.2
516,Mark Williams\willima07,C,22,CHO,19,508,22.3,0.675,0.0,0.424,15.8,25.0,20.2,6.6,1.5,3.5,8.7,16.7,,1.6,0.4,2.0,0.189,,1.4,-1.0,0.4,0.3
517,Patrick Williams\willipa01,PF,22,CHI,41,1118,11.3,0.56,0.399,0.189,4.3,11.3,7.7,7.8,1.7,2.9,12.6,16.5,,0.2,1.2,1.4,0.061,,-2.1,0.2,-2.0,0.0
518,Robert Williams\williro04,C,26,POR,6,119,17.1,0.684,0.0,0.346,9.7,27.5,17.9,6.3,2.9,5.3,18.9,13.1,,0.1,0.2,0.4,0.142,,-2.5,2.8,0.4,0.1
519,Vince Williams Jr.\willivi01,SG,23,MEM,32,754,11.4,0.574,0.703,0.331,5.6,19.4,12.3,12.6,1.5,2.4,15.2,13.4,,0.5,1.0,1.5,0.096,,-2.4,1.2,-1.2,0.2
520,Ziaire Williams\willizi02,SF,22,MEM,40,754,9.2,0.509,0.505,0.199,3.9,16.0,9.8,10.6,1.5,1.1,13.8,20.1,,-0.7,0.9,0.1,0.008,,-4.1,-0.5,-4.6,-0.5
521,Zion Williamson\willizi01,PF,23,NOP,35,1064,22.3,0.617,0.019,0.459,6.6,14.0,10.3,25.3,1.6,1.3,12.5,28.8,,2.3,1.2,3.5,0.158,,3.3,0.3,3.6,1.5
522,Jalen Wilson\wilsoja03,PF,23,BRK,11,104,19.9,0.635,0.25,0.469,15.0,9.5,12.3,12.1,1.4,0.9,7.2,17.0,,0.4,0.1,0.4,0.204,,2.4,-1.1,1.3,0.1
523,Dylan Windler\windldy01,SF,27,TOT,4,12,19.4,1.0,1.0,0.0,0.0,9.1,4.6,23.8,0.0,0.0,0.0,10.6,,0.1,0.0,0.1,0.287,,6.2,3.3,9.5,0.0
523,Dylan Windler\windldy01,SF,27,NYK,3,7,15.3,0.75,1.0,0.0,0.0,15.6,7.9,19.8,0.0,0.0,0.0,12.1,,0.0,0.0,0.0,0.235,,3.5,3.8,7.4,0.0
523,Dylan Windler\windldy01,SF,27,LAL,1,5,25.3,1.5,1.0,0.0,0.0,0.0,0.0,29.4,0.0,0.0,0.0,8.6,,0.0,0.0,0.0,0.361,,10.0,2.6,12.5,0.0
524,James Wiseman\wisemja01,C,22,DET,29,424,15.2,0.679,0.018,0.298,10.6,21.5,15.9,6.1,0.4,3.9,16.2,15.3,,0.6,0.2,0.8,0.089,,-2.2,-1.3,-3.5,-0.2
525,Christian Wood\woodch01,PF,28,LAL,38,713,12.4,0.578,0.452,0.348,5.3,26.9,16.5,7.6,0.7,3.8,15.4,17.3,,0.0,1.0,1.0,0.067,,-2.5,0.0,-2.5,-0.1
526,Delon Wright\wrighde01,PG,31,WAS,21,358,14.1,0.491,0.323,0.29,2.9,11.3,7.0,22.9,3.9,1.4,8.7,13.5,,0.3,0.3,0.6,0.083,,-2.3,2.3,0.0,0.2
